locale,lesson_id,source_run,artifact_id,title,sections,issues_count,banned_hits
ar-Gulf,analyst-m1-l1-from-automation-to-insight,27923489720,7781177736,الدرس الأول,10,0,0
ar-Gulf,analyst-m2-l1-feeling-to-question,27923489720,7781177694,من الإحساس للسؤال,10,0,0
ar-Gulf,analyst-m2-l2-right-question-rule,27923489720,7781177720,قواعد السؤال الصحيح,10,0,0
ar-Gulf,analyst-m3-l1-three-sources,27923489720,7781186015,ثلاث مصادر,10,0,0
ar-Gulf,analyst-m3-l2-ai-summarization,27923489720,7781179796,تلخيص بالـ AI,10,0,0
ar-Gulf,analyst-m4-automated-dashboard,27923489720,7781172094,لوحة التحكم الأوتوماتيكية,6,0,0
ar-Gulf,analyst-m4-l1-pattern-vs-outlier,27923489720,7781178811,النمط مقابل الشذوذ,10,0,0
ar-Gulf,analyst-m4-l2-decision-rule,27923489720,7781177640,قاعدة القرار,10,0,0
ar-Gulf,analyst-m5-ab-testing,27923489720,7781178123,اختبار A/B,10,0,0
ar-Gulf,analyst-m5-l1-four-numbers-dashboard,27923489720,7781180559,لوحة الأرقام الأربعة,10,0,0
ar-Gulf,analyst-m5-l2-weekly-review-ritual,27923489720,7781370225,مراجعة أسبوعية,5,0,0
ar-Gulf,analyst-m6-l1-question-mistakes,27925209666,7781796697,أخطاء الأسئلة,5,0,0
ar-Gulf,analyst-m6-l2-interpretation-mistakes,27923489720,7781178122,أخطاء التفسير,5,0,0
ar-Gulf,analyst-m7-l1-from-decisions-to-business,27925209666,7781801742,من القرارات للأعمال,5,0,0
ar-Gulf,automator-m1-l1-where-you-are,27925209666,7781803299,مكانك على الخريطة,10,0,0
ar-Gulf,automator-m2-l1-systems-view,27923489720,7781196783,نظرة على الأنظمة,10,0,0
ar-Gulf,automator-m2-l2-spot-patterns,27923489720,7781187804,أنماط الكشف,10,0,0
ar-Gulf,automator-m2-l3-decide-what-to-automate,27923489720,7781189383,اختيار ما يجب أتمتته,10,0,0
ar-Gulf,automator-m3-l1-tools-landscape,27923489720,7781196689,أدوات الأتمتة,10,0,0
ar-Gulf,automator-m3-l2-triggers-actions,27923489720,7781196676,المشغلات والأفعال,10,0,0
ar-Gulf,automator-m3-l3-filters-routers,27923489720,7781188329,فلاتر وموزّعات,10,0,0
ar-Gulf,automator-m3-testing-automation,27923489720,7781187983,اختبار الأتمتة,10,0,0
ar-Gulf,automator-m4-l1-connect-database,27923489720,7781190768,ربط قاعدة البيانات,10,0,0
ar-Gulf,automator-m4-l2-webhooks-api,27925209666,7781801730,الويب هوكس وواجهات البرمجة,10,0,0
ar-Gulf,automator-m4-l3-error-handling,27923489720,7781190923,إدارة الأخطاء,10,0,0
ar-Gulf,automator-m5-l1-llm-in-flow,27923489720,7781433998,بدء الدرس,9,0,0
ar-Gulf,automator-m5-l2-rag-in-n8n,27925209666,7781798304,بدء الدرس,7,0,0
ar-Gulf,automator-m5-l3-agents,27923489720,7781490105,بدء الدرس,6,0,0
ar-Gulf,automator-m6-l1-lead-capture,27923489720,7781193237,انطلاق الدرس,6,0,0
ar-Gulf,automator-m6-l2-whatsapp-flow,27923489720,7781370850,درس واتساب,6,0,0
ar-Gulf,automator-m6-l3-follow-up,27923489720,7781373197,أتمتة المتابعة,6,0,0
ar-Gulf,automator-m7-l1-closing-loop,27923489720,7781201922,إغلاق الحلقة,10,0,0
